bmrb_id,str_path,status,n_points,record_type,out_txt,name,inchi,inchikey,smiles
bmse000054,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000054/bmse000054.str,no_1H_data_found,0,,,NADH,,,
bmse000055,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000055/bmse000055.str,no_1H_data_found,0,,,NADPH,,,
bmse000056,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000056/bmse000056.str,no_1H_data_found,0,,,N-Acetyl-D-mannosamine,,,
bmse000057,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000057/bmse000057.str,no_1H_data_found,0,,,N-Acetylneuraminic acid,,,
bmse000058,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000058/bmse000058.str,no_1H_data_found,0,,,O-succinyl-L-homoserine,,,
bmse000059,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000059/bmse000059.str,no_1H_data_found,0,,,s-(5'-adenosyl)-L-methionine,,,
bmse000060,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000060/bmse000060.str,no_1H_data_found,0,,,adenine,,,
bmse000061,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000061/bmse000061.str,no_1H_data_found,0,,,adenosine,,,
bmse000062,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000062/bmse000062.str,no_1H_data_found,0,,,adonitol,,,
bmse000063,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000063/bmse000063.str,no_1H_data_found,0,,,agmatine,,,
bmse000064,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000064/bmse000064.str,no_1H_data_found,0,,,alpha-ketoglutaric acid,,,
bmse000065,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000065/bmse000065.str,no_1H_data_found,0,,,Lactose,,,
bmse000066,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000066/bmse000066.str,no_1H_data_found,0,,,4-aminobenzoic acid,,,
bmse000067,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000067/bmse000067.str,no_1H_data_found,0,,,anthranilic acid,,,
bmse000068,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000068/bmse000068.str,no_1H_data_found,0,,,L-(-) arabitol,,,
bmse000069,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000069/bmse000069.str,no_1H_data_found,0,,,betaine,,,
bmse000070,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000070/bmse000070.str,no_1H_data_found,0,,,Betaine aldehyde,,,
bmse000071,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000071/bmse000071.str,no_1H_data_found,0,,,cyclic AMP,,,
