accession,name,kingdom,super_class,class,sub_class,group
HMDB0000335,16a-Hydroxyestrone,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Estrane steroids,Lipids
HMDB0000336,(R)-3-Hydroxyisobutyric acid,Organic compounds,Organic acids and derivatives,Hydroxy acids and derivatives,Beta hydroxy acids and derivatives,Nitrogenous & organic acids
HMDB0000338,2-Hydroxyestradiol,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Estrane steroids,Lipids
HMDB0000339,2-Methylbutyrylglycine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0000341,2-Octenedioic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Lipids
HMDB0000343,2-Hydroxyestrone,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Estrane steroids,Lipids
HMDB0000346,3-Deoxyarabinohexonic acid,Organic compounds,Organic acids and derivatives,Hydroxy acids and derivatives,Medium-chain hydroxy acids and derivatives,Nitrogenous & organic acids
HMDB0000347,16b-Hydroxyestradiol,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Estrane steroids,Lipids
HMDB0000350,3-Hydroxysebacic acid,Organic compounds,Organic acids and derivatives,Hydroxy acids and derivatives,Medium-chain hydroxy acids and derivatives,Nitrogenous & organic acids
HMDB0000355,3-Hydroxymethylglutaric acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Lipids
HMDB0000363,17a-Hydroxypregnenolone,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Pregnane steroids,Lipids
HMDB0000364,"3a,6a,7b-Trihydroxy-5b-cholanoic acid",Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives",Lipids
HMDB0000365,Epiandrosterone,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Androstane steroids,Lipids
HMDB0000370,2-Amino-3-phosphonopropionic acid,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0000374,17-Hydroxyprogesterone,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Pregnane steroids,Lipids
HMDB0000378,2-Methylbutyroylcarnitine,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Lipids
HMDB0000387,3-Hydroxydodecanoic acid,Organic compounds,Organic acids and derivatives,Hydroxy acids and derivatives,Medium-chain hydroxy acids and derivatives,Nitrogenous & organic acids
HMDB0000392,2-Octenoic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Lipids
HMDB0000393,3-Hexenedioic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Lipids
HMDB0000394,3-Hydroxytetradecanedioic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Lipids
HMDB0000398,3-Oxoadipic acid,Organic compounds,Organic acids and derivatives,Keto acids and derivatives,Medium-chain keto acids and derivatives,Nitrogenous & organic acids
HMDB0000402,2-Isopropylmalic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Lipids
HMDB0000405,2-Methoxyestradiol,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Estrane steroids,Lipids
HMDB0000407,2-Hydroxy-3-methylbutyric acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Lipids
HMDB0000408,2-Methyl-3-ketovaleric acid,Organic compounds,Organic acids and derivatives,Keto acids and derivatives,Short-chain keto acids and derivatives,Nitrogenous & organic acids
HMDB0000413,3-Hydroxydodecanedioic acid,Organic compounds,Organic acids and derivatives,Hydroxy acids and derivatives,Medium-chain hydroxy acids and derivatives,Nitrogenous & organic acids
HMDB0000415,"3a,6b,7b-Trihydroxy-5b-cholanoic acid",Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives",Lipids
HMDB0000421,"2,3-Dihydroxyvaleric acid",Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Lipids
HMDB0000423,"3,4-Dihydroxyhydrocinnamic acid",Organic compounds,Phenylpropanoids and polyketides,Phenylpropanoic acids,,Aromatics
HMDB0000424,2-Hydroxydecanedioic acid,Organic compounds,Organic acids and derivatives,Hydroxy acids and derivatives,Medium-chain hydroxy acids and derivatives,Nitrogenous & organic acids
HMDB0000426,Citramalic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Lipids
