bin_index,ppm,importance
107,2.681704260651629,0.0024907014705427776
108,2.706766917293233,0.0028413017804960043
109,2.731829573934837,0.001681226388769359
110,2.756892230576441,0.000975132298713255
111,2.781954887218045,0.0010887247257897797
112,2.807017543859649,0.0033480463114599155
113,2.832080200501253,0.0029821655595435627
114,2.8571428571428568,0.001620279166072097
115,2.882205513784461,0.0017091536257347515
116,2.907268170426065,0.0014498035132888567
117,2.932330827067669,0.0008796177713128582
118,2.9573934837092732,0.0042734870203999745
119,2.982456140350877,0.003566926235122067
120,3.007518796992481,0.005413946319716115
121,3.032581453634085,0.005006611270344373
122,3.057644110275689,0.0014838201402135112
123,3.082706766917293,0.0026007388539398342
124,3.107769423558897,0.002651782393685308
125,3.132832080200501,0.001850192658335121
126,3.1578947368421053,0.003656281682381599
127,3.182957393483709,0.0033123735628519555
128,3.208020050125313,0.002703186550866706
129,3.233082706766917,0.0027372145804942434
130,3.258145363408521,0.0020664229964660443
131,3.2832080200501252,0.0028003614364003437
132,3.308270676691729,0.0020211265667677393
133,3.333333333333333,0.001986311170954916
134,3.3583959899749374,0.002492645099418436
135,3.3834586466165413,0.0018251606804341564
136,3.408521303258145,0.0019416873685501176
137,3.433583959899749,0.002775484900807981
138,3.458646616541353,0.0036792075711970106
139,3.4837092731829573,0.001874259159065173
140,3.508771929824561,0.002892967440548071
141,3.533834586466165,0.004894971290346565
142,3.5588972431077694,0.006725251655026315
143,3.5839598997493733,0.007407469741407922
144,3.6090225563909772,0.005853706847781047
145,3.634085213032581,0.01703617655752611
146,3.659147869674185,0.015100291189112214
147,3.6842105263157894,0.008655469415773458
148,3.7092731829573933,0.010928553746938068
149,3.734335839598997,0.011337667391542452
150,3.7593984962406015,0.008747679513213268
151,3.7844611528822054,0.010599285980412841
152,3.8095238095238093,0.011403150862582699
153,3.834586466165413,0.007534560160976078
154,3.859649122807017,0.009421400864998352
155,3.8847117794486214,0.006992640880478802
156,3.9097744360902253,0.0049875715107369515
157,3.9348370927318292,0.005451158346420886
158,3.9598997493734336,0.004017353755865662
159,3.9849624060150375,0.005481069450047084
160,4.010025062656641,0.005159773438697676
161,4.035087719298246,0.00460728524438375
162,4.060150375939849,0.004122340255566918
163,4.0852130325814535,0.0033263151539265064
164,4.110275689223057,0.002162840350963766
165,4.135338345864661,0.002844431152644923
166,4.160401002506266,0.003505765419871903
167,4.185463659147869,0.0038898705685583056
168,4.2105263157894735,0.003367567132089192
169,4.235588972431078,0.003083869257799919
170,4.260651629072681,0.0036463628216994943
171,4.285714285714286,0.0033989313223384394
172,4.31077694235589,0.007447635501256841
173,4.335839598997493,0.003659187701826668
174,4.360902255639098,0.0026416525925796524
175,4.385964912280701,0.0018846280336995466
176,4.4110275689223055,0.0025067956887369247
177,4.43609022556391,0.001746815671274299
178,4.461152882205513,0.0019361798040497407
179,4.486215538847118,0.001192922328258365
180,4.511278195488721,0.001157469390465655
181,4.5363408521303255,0.0010072025971730846
182,4.56140350877193,0.0014251494487454003
183,4.586466165413533,0.0012397352770200949
184,4.611528822055138,0.0012599715797350186
185,4.636591478696742,0.0014366160758693073
186,4.661654135338345,0.0009255603907857284
187,4.68671679197995,0.0007616939440740289
188,4.711779448621554,0.001163819630118227
189,4.7368421052631575,0.0008067013360445088
190,4.761904761904762,0.00038637802481519405
191,4.786967418546365,0.00012669209416520268
192,4.81203007518797,0.00017675348235950597
193,4.837092731829574,0.00010122056208957674
194,4.8621553884711775,6.191358939601661e-05
195,4.887218045112782,0.0
196,4.912280701754385,5.877586025185655e-05
197,4.93734335839599,1.1377547059324403e-05
198,4.962406015037594,0.0003985999877013304
199,4.987468671679197,0.0002444932313115726
200,5.012531328320802,0.0005854781639428827
201,5.037593984962406,0.00013068173095282494
202,5.0626566416040095,1.583826691074095e-06
203,5.087719298245614,0.0003081230864673002
204,5.112781954887218,0.0014067587362046766
205,5.137844611528822,0.0
206,5.162907268170426,0.00015364102858071347
207,5.1879699248120295,0.00021660949043565887
208,5.213032581453634,0.0035348343393734162
209,5.238095238095238,0.0007964082779743899
210,5.263157894736842,0.00125857610974179
211,5.288220551378446,0.0003252262530562505
212,5.313283208020049,0.0009981408739609464
213,5.338345864661654,0.0008385003824122165
214,5.363408521303258,0.0012890281539002881
215,5.3884711779448615,0.0009629268057449968
216,5.413533834586466,0.0011646337145571034
217,5.43859649122807,0.0007390364953343583
218,5.463659147869674,0.00039041364629211346
219,5.488721804511278,6.466981549772405e-05
220,5.513784461152882,0.00015706482502777716
221,5.538847117794486,0.0005634058374774955
222,5.56390977443609,0.0012044295523637315
223,5.588972431077694,0.0015386941584017333
224,5.614035087719298,0.0013120790197697504
225,5.639097744360902,0.0010361014495243767
226,5.664160401002506,0.00031170843861625606
227,5.68922305764411,5.460928416744591e-05
228,5.7142857142857135,0.00021843741002379468
229,5.739348370927318,0.00016307086585361208
230,5.764411027568922,0.00029632578999792857
231,5.789473684210526,0.0002035304163720208
232,5.81453634085213,0.00031685165806251013
233,5.839598997493734,0.000628352231102923
234,5.864661654135338,8.824295947661085e-05
235,5.889724310776942,0.00047959264664382875
236,5.9147869674185465,0.0007652571753068481
237,5.93984962406015,0.00044195297225349994
238,5.964912280701754,0.0008028503991297781
239,5.989974937343358,0.0007690634526766881
240,6.015037593984962,0.0004771044753868606
241,6.040100250626566,0.00011968675960282619
242,6.06516290726817,0.0
