file,hmdb_id,type
HMDB0003671_nmroned_1982_33430.txt,HMDB0003671,oned_h1
HMDB0001843_nmroned_1748_32035.txt,HMDB0001843,oned_h1
HMDB0001870_nmroned_1769_32123.txt,HMDB0001870,oned_h1
HMDB0000653_nmroned_1457_30165.txt,HMDB0000653,oned_h1
HMDB0001937_nmroned_5181_2733731.txt,HMDB0001937,oned_h1
HMDB0002825_nmroned_1907_33095.txt,HMDB0002825,oned_h1
HMDB0000876_nmroned_5203_2733831.txt,HMDB0000876,oned_h1
HMDB0003464_nmroned_1973_33386.txt,HMDB0003464,oned_h1
HMDB0004122_nmroned_1992_33473.txt,HMDB0004122,oned_h1
HMDB0000329_nmroned_1332_29217.txt,HMDB0000329,oned_h1
HMDB0000251_nmroned_1277_28984.txt,HMDB0000251,oned_h1
HMDB0000812_nmroned_1553_30906.txt,HMDB0000812,oned_h1
HMDB0006331_nmroned_2038_33685.txt,HMDB0006331,oned_h1
HMDB0000392_nmroned_1352_29309.txt,HMDB0000392,oned_h1
HMDB0000045_nmroned_1051_28021.txt,HMDB0000045,oned_h1
HMDB0001927_nmroned_1806_32674.txt,HMDB0001927,oned_h1
HMDB0000910_nmroned_1601_31236.txt,HMDB0000910,oned_h1
HMDB0000827_nmroned_1558_30939.txt,HMDB0000827,oned_h1
HMDB0002199_nmroned_1862_32905.txt,HMDB0002199,oned_h1
HMDB0004136_nmroned_1993_33478.txt,HMDB0004136,oned_h1
HMDB0000555_nmroned_1418_29761.txt,HMDB0000555,oned_h1
HMDB0001184_nmroned_1657_31622.txt,HMDB0001184,oned_h1
HMDB0000982_nmroned_1628_31445.txt,HMDB0000982,oned_h1
HMDB0000766_nmroned_1532_30810.txt,HMDB0000766,oned_h1
HMDB0000294_nmroned_1227_28777.txt,HMDB0000294,oned_h1
HMDB0003075_nmroned_1926_33179.txt,HMDB0003075,oned_h1
HMDB0000421_nmroned_1362_29356.txt,HMDB0000421,oned_h1
HMDB0003405_nmroned_1962_33336.txt,HMDB0003405,oned_h1
HMDB0000462_nmroned_1380_29468.txt,HMDB0000462,oned_h1
HMDB0000767_nmroned_1533_30814.txt,HMDB0000767,oned_h1
HMDB0002327_nmroned_1874_32959.txt,HMDB0002327,oned_h1
HMDB0000538_nmroned_1237_28816.txt,HMDB0000538,oned_h1
HMDB0000122_nmroned_5259_2734637.txt,HMDB0000122,oned_h1
HMDB0002350_nmroned_1878_32973.txt,HMDB0002350,oned_h1
HMDB0003152_nmroned_1930_33196.txt,HMDB0003152,oned_h1
HMDB0000161_nmroned_1178_28570.txt,HMDB0000161,oned_h1
HMDB0000370_nmroned_1348_29290.txt,HMDB0000370,oned_h1
HMDB0000227_nmroned_5269_2734743.txt,HMDB0000227,oned_h1
HMDB0004983_nmroned_2010_33553.txt,HMDB0004983,oned_h1
HMDB0000124_nmroned_1095_28212.txt,HMDB0000124,oned_h1
HMDB0005018_nmroned_2020_33600.txt,HMDB0005018,oned_h1
HMDB0002259_nmroned_1869_32937.txt,HMDB0002259,oned_h1
HMDB0003843_nmroned_1984_33439.txt,HMDB0003843,oned_h1
HMDB0002899_nmroned_1911_33114.txt,HMDB0002899,oned_h1
HMDB0000554_nmroned_1417_29750.txt,HMDB0000554,oned_h1
HMDB0003070_nmroned_1924_33171.txt,HMDB0003070,oned_h1
HMDB0000132_nmroned_1102_28244.txt,HMDB0000132,oned_h1
HMDB0000634_nmroned_1447_30066.txt,HMDB0000634,oned_h1
HMDB0000927_nmroned_1607_31281.txt,HMDB0000927,oned_h1
HMDB0003375_nmroned_1996_33493.txt,HMDB0003375,oned_h1
HMDB0000321_nmroned_1330_29208.txt,HMDB0000321,oned_h1
HMDB0000022_nmroned_1036_27950.txt,HMDB0000022,oned_h1
HMDB0001904_nmroned_1793_32284.txt,HMDB0001904,oned_h1
HMDB0000186_nmroned_1196_28646.txt,HMDB0000186,oned_h1
HMDB0001888_nmroned_1781_32208.txt,HMDB0001888,oned_h1
HMDB0000086_nmroned_1076_28127.txt,HMDB0000086,oned_h1
HMDB0000243_nmroned_1215_28726.txt,HMDB0000243,oned_h1
HMDB0000860_nmroned_1572_31013.txt,HMDB0000860,oned_h1
HMDB0012127_nmroned_2059_33781.txt,HMDB0012127,oned_h1
HMDB0000666_nmroned_1464_30239.txt,HMDB0000666,oned_h1
HMDB0001266_nmroned_1675_31703.txt,HMDB0001266,oned_h1
HMDB0000023_nmroned_1037_27954.txt,HMDB0000023,oned_h1
HMDB0003282_nmroned_1944_33258.txt,HMDB0003282,oned_h1
HMDB0000716_nmroned_1496_30550.txt,HMDB0000716,oned_h1
HMDB0001431_nmroned_1705_31839.txt,HMDB0001431,oned_h1
HMDB0001520_nmroned_1721_31906.txt,HMDB0001520,oned_h1
HMDB0002658_nmroned_1898_33052.txt,HMDB0002658,oned_h1
HMDB0003441_nmroned_1971_33379.txt,HMDB0003441,oned_h1
HMDB0000189_nmroned_1160_28494.txt,HMDB0000189,oned_h1
HMDB0000459_nmroned_1379_29459.txt,HMDB0000459,oned_h1
HMDB0000152_nmroned_1113_28293.txt,HMDB0000152,oned_h1
HMDB0000194_nmroned_1171_28541.txt,HMDB0000194,oned_h1
HMDB0001892_nmroned_1785_32236.txt,HMDB0001892,oned_h1
HMDB0002712_nmroned_1901_33066.txt,HMDB0002712,oned_h1
HMDB0000693_nmroned_5198_2733604.txt,HMDB0000693,oned_h1
HMDB0001129_nmroned_1647_31579.txt,HMDB0001129,oned_h1
HMDB0000995_nmroned_1630_31462.txt,HMDB0000995,oned_h1
HMDB0001587_nmroned_1738_31985.txt,HMDB0001587,oned_h1
HMDB0000755_nmroned_1524_30774.txt,HMDB0000755,oned_h1
HMDB0000205_nmroned_1185_28601.txt,HMDB0000205,oned_h1
HMDB0003033_nmroned_1922_33161.txt,HMDB0003033,oned_h1
HMDB0000230_nmroned_1247_28856.txt,HMDB0000230,oned_h1
HMDB0000296_nmroned_1228_28781.txt,HMDB0000296,oned_h1
HMDB0003315_nmroned_1948_33278.txt,HMDB0003315,oned_h1
HMDB0000087_nmroned_1138_28401.txt,HMDB0000087,oned_h1
HMDB0005846_nmroned_2032_33656.txt,HMDB0005846,oned_h1
HMDB0000167_nmroned_1129_28363.txt,HMDB0000167,oned_h1
HMDB0003417_nmroned_1966_33355.txt,HMDB0003417,oned_h1
HMDB0000885_nmroned_1584_31085.txt,HMDB0000885,oned_h1
HMDB0011653_nmroned_2053_33757.txt,HMDB0011653,oned_h1
HMDB0001858_nmroned_1760_32087.txt,HMDB0001858,oned_h1
HMDB0002107_nmroned_1854_32873.txt,HMDB0002107,oned_h1
HMDB0000172_nmroned_1136_28397.txt,HMDB0000172,oned_h1
HMDB0006478_nmroned_2040_33695.txt,HMDB0006478,oned_h1
HMDB0004110_nmroned_1991_33468.txt,HMDB0004110,oned_h1
HMDB0003828_nmroned_1983_33434.txt,HMDB0003828,oned_h1
HMDB0000131_nmroned_1159_28490.txt,HMDB0000131,oned_h1
HMDB0000870_nmroned_1278_28988.txt,HMDB0000870,oned_h1
HMDB0000134_nmroned_1163_28507.txt,HMDB0000134,oned_h1
HMDB0000735_nmroned_1509_30652.txt,HMDB0000735,oned_h1
HMDB0000490_nmroned_1391_29567.txt,HMDB0000490,oned_h1
HMDB0005812_nmroned_2030_33646.txt,HMDB0005812,oned_h1
HMDB0002455_nmroned_1892_33028.txt,HMDB0002455,oned_h1
HMDB0001955_nmroned_1823_32745.txt,HMDB0001955,oned_h1
HMDB0000899_nmroned_1592_31153.txt,HMDB0000899,oned_h1
HMDB0004487_nmroned_2002_33521.txt,HMDB0004487,oned_h1
HMDB0000639_nmroned_1450_30093.txt,HMDB0000639,oned_h1
HMDB0001568_nmroned_1734_31966.txt,HMDB0001568,oned_h1
HMDB0000930_nmroned_1609_31295.txt,HMDB0000930,oned_h1
HMDB0000226_nmroned_1238_28820.txt,HMDB0000226,oned_h1
HMDB0000407_nmroned_1358_29337.txt,HMDB0000407,oned_h1
HMDB0000428_nmroned_1366_29373.txt,HMDB0000428,oned_h1
HMDB0000906_nmroned_1598_31212.txt,HMDB0000906,oned_h1
HMDB0000232_nmroned_1249_28864.txt,HMDB0000232,oned_h1
HMDB0003423_nmroned_1968_33365.txt,HMDB0003423,oned_h1
HMDB0000908_nmroned_1600_31229.txt,HMDB0000908,oned_h1
HMDB0000365_nmroned_1347_29287.txt,HMDB0000365,oned_h1
HMDB0001173_nmroned_1655_31613.txt,HMDB0001173,oned_h1
HMDB0000258_nmroned_1220_28748.txt,HMDB0000258,oned_h1
HMDB0000426_nmroned_1365_29369.txt,HMDB0000426,oned_h1
HMDB0000092_nmroned_1079_28141.txt,HMDB0000092,oned_h1
HMDB0000364_nmroned_1346_29283.txt,HMDB0000364,oned_h1
HMDB0004811_nmroned_2004_33529.txt,HMDB0004811,oned_h1
HMDB0000719_nmroned_1498_30560.txt,HMDB0000719,oned_h1
HMDB0001220_nmroned_1664_31655.txt,HMDB0001220,oned_h1
HMDB0001311_nmroned_1680_31725.txt,HMDB0001311,oned_h1
HMDB0000488_nmroned_5162_2733388.txt,HMDB0000488,oned_h1
HMDB0000638_nmroned_1449_30084.txt,HMDB0000638,oned_h1
HMDB0000783_nmroned_1539_30842.txt,HMDB0000783,oned_h1
HMDB0011632_nmroned_2050_33744.txt,HMDB0011632,oned_h1
HMDB0000005_nmroned_1024_27899.txt,HMDB0000005,oned_h1
HMDB0000042_nmroned_1126_28349.txt,HMDB0000042,oned_h1
HMDB0000590_nmroned_1432_29909.txt,HMDB0000590,oned_h1
HMDB0000050_nmroned_1131_28371.txt,HMDB0000050,oned_h1
HMDB0000174_nmroned_5280_2765987.txt,HMDB0000174,oned_h1
HMDB0000625_nmroned_1442_30012.txt,HMDB0000625,oned_h1
HMDB0000296_nmroned_1319_29160.txt,HMDB0000296,oned_h1
HMDB0005994_nmroned_2033_33661.txt,HMDB0005994,oned_h1
HMDB0004586_nmroned_2003_33526.txt,HMDB0004586,oned_h1
HMDB0002068_nmroned_1845_32839.txt,HMDB0002068,oned_h1
HMDB0000269_nmroned_1306_29104.txt,HMDB0000269,oned_h1
HMDB0001548_nmroned_5252_2734533.txt,HMDB0001548,oned_h1
HMDB0000273_nmroned_1309_29117.txt,HMDB0000273,oned_h1
HMDB0000798_nmroned_1545_30871.txt,HMDB0000798,oned_h1
HMDB0000156_nmroned_1173_28548.txt,HMDB0000156,oned_h1
HMDB0000479_nmroned_1388_29540.txt,HMDB0000479,oned_h1
HMDB0002359_nmroned_1880_32981.txt,HMDB0002359,oned_h1
HMDB0004327_nmroned_1997_33498.txt,HMDB0004327,oned_h1
HMDB0003573_nmroned_5187_2733693.txt,HMDB0003573,oned_h1
HMDB0001890_nmroned_1783_32220.txt,HMDB0001890,oned_h1
HMDB0000694_nmroned_1482_30419.txt,HMDB0000694,oned_h1
HMDB0005038_nmroned_2022_33610.txt,HMDB0005038,oned_h1
HMDB0000034_nmroned_1043_27982.txt,HMDB0000034,oned_h1
HMDB0000220_nmroned_1217_28734.txt,HMDB0000220,oned_h1
HMDB0005356_nmroned_2023_33615.txt,HMDB0005356,oned_h1
HMDB0000039_nmroned_1047_28002.txt,HMDB0000039,oned_h1
HMDB0000056_nmroned_1058_28054.txt,HMDB0000056,oned_h1
HMDB0000747_nmroned_1517_30724.txt,HMDB0000747,oned_h1
HMDB0001406_nmroned_1299_29074.txt,HMDB0001406,oned_h1
HMDB0000766_nmroned_1270_28952.txt,HMDB0000766,oned_h1
HMDB0000243_nmroned_1266_28935.txt,HMDB0000243,oned_h1
HMDB0000630_nmroned_1445_30044.txt,HMDB0000630,oned_h1
HMDB0000875_nmroned_1579_31043.txt,HMDB0000875,oned_h1
HMDB0000745_nmroned_1515_30705.txt,HMDB0000745,oned_h1
HMDB0000509_nmroned_1400_29609.txt,HMDB0000509,oned_h1
HMDB0000272_nmroned_1308_29113.txt,HMDB0000272,oned_h1
HMDB0000032_nmroned_1041_27972.txt,HMDB0000032,oned_h1
HMDB0341410_nmroned_1025_27902.txt,HMDB0341410,oned_h1
HMDB0000056_nmroned_1133_28380.txt,HMDB0000056,oned_h1
HMDB0001197_nmroned_1659_31631.txt,HMDB0001197,oned_h1
HMDB0001511_nmroned_1720_31901.txt,HMDB0001511,oned_h1
HMDB0000753_nmroned_1522_30767.txt,HMDB0000753,oned_h1
HMDB0000774_nmroned_1535_30823.txt,HMDB0000774,oned_h1
HMDB0000714_nmroned_1258_28901.txt,HMDB0000714,oned_h1
HMDB0000398_nmroned_1355_29322.txt,HMDB0000398,oned_h1
HMDB0000142_nmroned_1107_28267.txt,HMDB0000142,oned_h1
HMDB0001940_nmroned_1818_32724.txt,HMDB0001940,oned_h1
HMDB0002092_nmroned_1850_32858.txt,HMDB0002092,oned_h1
HMDB0003306_nmroned_1946_33268.txt,HMDB0003306,oned_h1
HMDB0000262_nmroned_1297_29067.txt,HMDB0000262,oned_h1
HMDB0000943_nmroned_5243_2734347.txt,HMDB0000943,oned_h1
HMDB0001542_nmroned_1727_31935.txt,HMDB0001542,oned_h1
HMDB0000216_nmroned_1212_28713.txt,HMDB0000216,oned_h1
HMDB0000517_nmroned_1404_29627.txt,HMDB0000517,oned_h1
HMDB0003355_nmroned_1956_33308.txt,HMDB0003355,oned_h1
HMDB0003334_nmroned_1952_33293.txt,HMDB0003334,oned_h1
HMDB0000828_nmroned_1559_30948.txt,HMDB0000828,oned_h1
HMDB0000258_nmroned_1293_29051.txt,HMDB0000258,oned_h1
HMDB0000699_nmroned_1256_28892.txt,HMDB0000699,oned_h1
HMDB0000641_nmroned_1452_30114.txt,HMDB0000641,oned_h1
HMDB0002348_nmroned_1877_32970.txt,HMDB0002348,oned_h1
HMDB0000852_nmroned_1568_30993.txt,HMDB0000852,oned_h1
HMDB0000158_nmroned_1117_28311.txt,HMDB0000158,oned_h1
HMDB0002004_nmroned_1833_32789.txt,HMDB0002004,oned_h1
HMDB0000518_nmroned_1405_29631.txt,HMDB0000518,oned_h1
HMDB0000098_nmroned_1145_28432.txt,HMDB0000098,oned_h1
HMDB0001248_nmroned_1668_31673.txt,HMDB0001248,oned_h1
HMDB0002923_nmroned_5224_2734077.txt,HMDB0002923,oned_h1
HMDB0011745_nmroned_5229_2734176.txt,HMDB0011745,oned_h1
HMDB0000706_nmroned_1491_30503.txt,HMDB0000706,oned_h1
HMDB0000452_nmroned_1376_29433.txt,HMDB0000452,oned_h1
HMDB0000738_nmroned_1511_30669.txt,HMDB0000738,oned_h1
HMDB0240773_nmroned_1180_28579.txt,HMDB0240773,oned_h1
HMDB0000290_nmroned_1314_29138.txt,HMDB0000290,oned_h1
HMDB0000512_nmroned_1403_29622.txt,HMDB0000512,oned_h1
HMDB0000772_nmroned_1534_30818.txt,HMDB0000772,oned_h1
HMDB0000725_nmroned_1263_28922.txt,HMDB0000725,oned_h1
HMDB0000267_nmroned_1303_29091.txt,HMDB0000267,oned_h1
HMDB0001544_nmroned_1728_31939.txt,HMDB0001544,oned_h1
HMDB0001409_nmroned_1701_31820.txt,HMDB0001409,oned_h1
HMDB0000138_nmroned_5205_2733867.txt,HMDB0000138,oned_h1
HMDB0001069_nmroned_1641_31551.txt,HMDB0001069,oned_h1
HMDB0000211_nmroned_1200_28662.txt,HMDB0000211,oned_h1
HMDB0001855_nmroned_1757_32074.txt,HMDB0001855,oned_h1
HMDB0000546_nmroned_1414_29724.txt,HMDB0000546,oned_h1
HMDB0000131_nmroned_1101_28239.txt,HMDB0000131,oned_h1
HMDB0000883_nmroned_1582_31068.txt,HMDB0000883,oned_h1
HMDB0000535_nmroned_1409_29673.txt,HMDB0000535,oned_h1
HMDB0001547_nmroned_1730_31949.txt,HMDB0001547,oned_h1
HMDB0002802_nmroned_1905_33086.txt,HMDB0002802,oned_h1
HMDB0001003_nmroned_1631_31471.txt,HMDB0001003,oned_h1
HMDB0002005_nmroned_5212_2733931.txt,HMDB0002005,oned_h1
HMDB0000157_nmroned_1116_28306.txt,HMDB0000157,oned_h1
HMDB0000859_nmroned_1571_31008.txt,HMDB0000859,oned_h1
HMDB0000169_nmroned_5262_2734682.txt,HMDB0000169,oned_h1
HMDB0000806_nmroned_1549_30888.txt,HMDB0000806,oned_h1
HMDB0002994_nmroned_1920_33152.txt,HMDB0002994,oned_h1
HMDB0000845_nmroned_1564_30974.txt,HMDB0000845,oned_h1
HMDB0003364_nmroned_1958_33317.txt,HMDB0003364,oned_h1
HMDB0000888_nmroned_1585_31094.txt,HMDB0000888,oned_h1
HMDB0000394_nmroned_1354_29318.txt,HMDB0000394,oned_h1
HMDB0001183_nmroned_1656_31618.txt,HMDB0001183,oned_h1
HMDB0000609_nmroned_1435_29937.txt,HMDB0000609,oned_h1
HMDB0004476_nmroned_2001_33516.txt,HMDB0004476,oned_h1
HMDB0000181_nmroned_1149_28448.txt,HMDB0000181,oned_h1
HMDB0000920_nmroned_1603_31249.txt,HMDB0000920,oned_h1
HMDB0003269_nmroned_1943_33254.txt,HMDB0003269,oned_h1
HMDB0003249_nmroned_1940_33240.txt,HMDB0003249,oned_h1
HMDB0000718_nmroned_1497_30555.txt,HMDB0000718,oned_h1
HMDB0000211_nmroned_1205_28682.txt,HMDB0000211,oned_h1
HMDB0242149_nmroned_1912_33117.txt,HMDB0242149,oned_h1
HMDB0000162_nmroned_1179_28574.txt,HMDB0000162,oned_h1
HMDB0001861_nmroned_1763_32099.txt,HMDB0001861,oned_h1
HMDB0001624_nmroned_1739_31990.txt,HMDB0001624,oned_h1
HMDB0002917_nmroned_5250_2734472.txt,HMDB0002917,oned_h1
HMDB0000071_nmroned_1068_28095.txt,HMDB0000071,oned_h1
HMDB0000954_nmroned_1619_31369.txt,HMDB0000954,oned_h1
HMDB0000127_nmroned_1156_28478.txt,HMDB0000127,oned_h1
HMDB0001403_nmroned_1699_31811.txt,HMDB0001403,oned_h1
HMDB0000092_nmroned_1140_28410.txt,HMDB0000092,oned_h1
HMDB0000123_nmroned_1153_28465.txt,HMDB0000123,oned_h1
