accession,name,kingdom,super_class,class,sub_class
HMDB0001160,Tricosanoic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB0001169,4-Aminophenol,Organic compounds,Benzenoids,Benzene and substituted derivatives,Aniline and substituted anilines
HMDB0001170,Lathosterol,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Cholestane steroids
HMDB0001173,5'-Methylthioadenosine,Organic compounds,"Nucleosides, nucleotides, and analogues",5'-deoxyribonucleosides,5'-deoxy-5'-thionucleosides
HMDB0001183,Octanol,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty alcohols
HMDB0001184,Methyl propenyl ketone,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds
HMDB0001186,N1-Acetylspermine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives
HMDB0001197,FADH,Organic compounds,"Nucleosides, nucleotides, and analogues",Flavin nucleotides,
HMDB0001201,Guanosine diphosphate,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleotides,Purine ribonucleotides
HMDB0001202,dCMP,Organic compounds,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine deoxyribonucleotides
HMDB0001209,Allantoic acid,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0001218,Coumarin,Organic compounds,Phenylpropanoids and polyketides,Coumarins and derivatives,
HMDB0001220,Prostaglandin E2,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Eicosanoids
HMDB0001227,5-Thymidylic acid,Organic compounds,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine deoxyribonucleotides
HMDB0001232,4-Nitrophenol,Organic compounds,Benzenoids,Phenols,Nitrophenols
HMDB0001238,N-Acetylserotonin,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Hydroxyindoles
HMDB0001248,FAD,Organic compounds,"Nucleosides, nucleotides, and analogues",Flavin nucleotides,
HMDB0001254,Glucosamine 6-phosphate,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates
HMDB0001256,Spermine,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines
HMDB0001257,Spermidine,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines
HMDB0001259,Succinic acid semialdehyde,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB0001262,Maltotriose,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates
HMDB0001264,Dehydroascorbic acid,Organic compounds,Organoheterocyclic compounds,Lactones,Gamma butyrolactones
HMDB0001266,L-Sorbose,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates
HMDB0001273,Guanosine triphosphate,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleotides,Purine ribonucleotides
HMDB0001294,"2,3-Diphosphoglyceric acid",Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates
HMDB0001296,Maltotetraose,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates
HMDB0001310,D-Alanine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0001311,D-Lactic acid,Organic compounds,Organic acids and derivatives,Hydroxy acids and derivatives,Alpha hydroxy acids and derivatives
HMDB0001316,6-Phosphogluconic acid,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates
HMDB0001336,"3,4-Dihydroxybenzeneacetic acid",Organic compounds,Benzenoids,Phenols,Benzenediols
HMDB0001341,ADP,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleotides,Purine ribonucleotides
HMDB0001342,Thymidine 5'-triphosphate,Organic compounds,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine deoxyribonucleotides
HMDB0001348,SM(d18:1/18:0),Organic compounds,Lipids and lipid-like molecules,Sphingolipids,Phosphosphingolipids
HMDB0001355,Parathion,Organic compounds,Organic acids and derivatives,Organic thiophosphoric acids and derivatives,Thiophosphoric acid esters
HMDB0001358,Retinal,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Retinoids
HMDB0001366,Purine,Organic compounds,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives
HMDB0001368,3-Mercaptopyruvic acid,Organic compounds,Organic acids and derivatives,Keto acids and derivatives,Alpha-keto acids and derivatives
HMDB0001370,Diaminopimelic acid,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0001372,Thiamine pyrophosphate,Organic compounds,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives
HMDB0001388,alpha-Linolenic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Lineolic acids and derivatives
HMDB0001389,Melatonin,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Indoles
HMDB0001392,p-Aminobenzoic acid,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
HMDB0001394,Heparin,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates
HMDB0001397,Guanosine monophosphate,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleotides,Purine ribonucleotides
HMDB0001398,Guaiacol,Organic compounds,Benzenoids,Phenols,Methoxyphenols
HMDB0001401,Glucose 6-phosphate,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates
HMDB0001403,Prostaglandin D2,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Eicosanoids
HMDB0001406,Niacinamide,Organic compounds,Organoheterocyclic compounds,Pyridines and derivatives,Pyridinecarboxylic acids and derivatives
HMDB0001409,dUMP,Organic compounds,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine deoxyribonucleotides
HMDB0001413,Citicoline,Organic compounds,Organoheterocyclic compounds,Pteridines and derivatives,Pterins and derivatives
HMDB0001414,Putrescine,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines
HMDB0001423,Coenzyme A,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleotides,Purine ribonucleotides
HMDB0001431,Pyridoxamine,Organic compounds,Organoheterocyclic compounds,Pyridines and derivatives,Pyridoxamines
HMDB0001432,Agmatine,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Guanidines
HMDB0001434,3-Methoxytyrosine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0001440,dGTP,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleotides,Purine deoxyribonucleotides
HMDB0001451,(R)-Lipoic acid,Organic compounds,Organoheterocyclic compounds,Dithiolanes,Lipoic acids and derivatives
HMDB0001460,Diethylthiophosphate,Organic compounds,Organic acids and derivatives,Organic thiophosphoric acids and derivatives,Thiophosphoric acid esters
HMDB0001470,Tiglic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB0001476,3-Hydroxyanthranilic acid,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
HMDB0001485,Octane,Organic compounds,Hydrocarbons,Saturated hydrocarbons,Alkanes
HMDB0001487,NADH,Organic compounds,"Nucleosides, nucleotides, and analogues",(5'->5')-dinucleotides,
HMDB0001488,Nicotinic acid,Organic compounds,Organoheterocyclic compounds,Pyridines and derivatives,Pyridinecarboxylic acids and derivatives
HMDB0001490,Vanylglycol,Organic compounds,Benzenoids,Phenols,Methoxyphenols
HMDB0001491,Pyridoxal 5'-phosphate,Organic compounds,Organoheterocyclic compounds,Pyridines and derivatives,Pyridine carboxaldehydes
HMDB0001494,Acetylphosphate,Organic compounds,Organic acids and derivatives,Organic phosphoric acids and derivatives,Phosphate esters
HMDB0001511,Phosphocreatine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0001520,Flavin mononucleotide,Organic compounds,"Nucleosides, nucleotides, and analogues",Flavin nucleotides,
HMDB0001522,Methylguanidine,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Guanidines
HMDB0001525,Imidazole,Organic compounds,Organoheterocyclic compounds,Azoles,Imidazoles
HMDB0001532,Deoxyadenosine triphosphate,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleotides,Purine deoxyribonucleotides
HMDB0001537,6-Hydroxydopamine,Organic compounds,Benzenoids,Phenols,Benzenediols
HMDB0001538,3-Pyridylacetic acid,Organic compounds,Organoheterocyclic compounds,Pyridines and derivatives,
HMDB0001542,N-Acetyllactosamine,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates
HMDB0001544,m-Chlorobenzoic acid,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
HMDB0001545,Pyridoxal,Organic compounds,Organoheterocyclic compounds,Pyridines and derivatives,Pyridine carboxaldehydes
HMDB0001547,Corticosterone,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Hydroxysteroids
HMDB0001548,D-Ribose 5-phosphate,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates
HMDB0001563,1-Methylguanosine,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleosides,
HMDB0001565,Phosphorylcholine,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Quaternary ammonium salts
HMDB0001568,trans-2-Octenoic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB0001569,Epi-coprostanol,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Cholestane steroids
HMDB0001570,"Thymidine 3',5'-cyclic monophosphate",Organic compounds,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives
HMDB0001587,Phenylglyoxylic acid,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoyl derivatives
HMDB0001624,2-Hydroxycaproic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB0001645,L-Norleucine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0001659,Acetone,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds
HMDB0001713,m-Coumaric acid,Organic compounds,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Hydroxycinnamic acids and derivatives
HMDB0001721,DL-O-Phosphoserine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0001786,Ethenodeoxyadenosine,Organic compounds,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives
HMDB0001830,Progesterone,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Pregnane steroids
HMDB0001833,Aminopterin,Organic compounds,Organoheterocyclic compounds,Pteridines and derivatives,Pterins and derivatives
HMDB0001843,N-Acryloylglycine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0001844,Methylsuccinic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB0001846,Tetrahydrofolic acid,Organic compounds,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives
HMDB0001847,Caffeine,Organic compounds,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives
HMDB0001848,Imipramine,Organic compounds,Organoheterocyclic compounds,Benzazepines,Dibenzazepines
HMDB0001849,Propranolol,Organic compounds,Benzenoids,Naphthalenes,
HMDB0001850,Verapamil,Organic compounds,Benzenoids,Benzene and substituted derivatives,Phenylbutylamines
HMDB0001851,L-Arabitol,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates
HMDB0001852,all-trans-Retinoic acid,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Retinoids
HMDB0001855,5-Hydroxytryptophol,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Hydroxyindoles
HMDB0001856,Protocatechuic acid,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
HMDB0001857,"1,3-Dimethyluric acid",Organic compounds,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives
HMDB0001858,p-Cresol,Organic compounds,Benzenoids,Phenols,Cresols
HMDB0001859,Acetaminophen,Organic compounds,Benzenoids,Phenols,1-hydroxy-2-unsubstituted benzenoids
HMDB0001860,Paraxanthine,Organic compounds,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives
HMDB0001861,3-Methylhistamine,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines
HMDB0001862,2-Ethylacrylic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB0001864,2-Ketohexanoic acid,Organic compounds,Organic acids and derivatives,Keto acids and derivatives,Medium-chain keto acids and derivatives
HMDB0001866,"3,4-Dihydroxymandelic acid",Organic compounds,Benzenoids,Phenols,Benzenediols
HMDB0001867,4-Aminohippuric acid,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
HMDB0001868,5-Methoxysalicylic acid,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
HMDB0001870,Benzoic acid,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
HMDB0001871,Epicatechin,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavans
HMDB0001873,Isobutyric acid,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acids
HMDB0001874,D-threo-Isocitric acid,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Tricarboxylic acids and derivatives
HMDB0001875,Methanol,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols
HMDB0001877,Valproic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB0001878,Thymol,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids
HMDB0001879,Aspirin,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
HMDB0001881,Propylene glycol,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols
